avg_vote,metascore,reviews_from_users,reviews_from_critics,tomatometer_rating,audience_rating,usa_gross_income,worlwide_gross_income
4.4,29.0,59.0,29.0,13,40.0, 11993021, 11993021
5.7,,44.0,15.0,100,45.0, 15429177, 15429177
7.2,72.0,156.0,89.0,83,77.0, 45916769, 45916769
7.7,76.0,615.0,294.0,96,78.0, 53606916, 70016220
7.7,76.0,615.0,294.0,89,86.0, 53606916, 70016220
8.1,87.0,309.0,91.0,95,93.0, 27200000, 27200000
5.1,40.0,111.0,46.0,11,36.0, 16228448, 16228448
5.4,29.0,153.0,101.0,14,48.0, 17326650, 38159905
7.7,47.0,744.0,177.0,39,89.0, 77911774, 130293714
7.0,57.0,83.0,28.0,47,83.0, 44364244, 44364244
6.5,,169.0,110.0,66,52.0, 8247943, 8247943
6.5,,169.0,110.0,60,56.0, 8247943, 8247943
6.7,57.0,267.0,170.0,71,63.0, 21017849, 21017849
6.7,57.0,267.0,170.0,88,71.0, 21017849, 21017849
7.9,94.0,2222.0,608.0,92,81.0, 189740665, 526940665
7.5,79.0,323.0,230.0,95,71.0, 40456565, 60632088
7.5,79.0,323.0,230.0,92,83.0, 40456565, 60632088
5.6,28.0,542.0,159.0,30,42.0, 40846082, 42593455
7.0,84.0,201.0,76.0,86,72.0, 12988801, 27674124
6.8,,119.0,37.0,89,69.0, 458000, 458000
5.8,74.0,28.0,33.0,83,70.0, 6491969, 6491969
5.8,74.0,28.0,33.0,76,48.0, 6491969, 6491969
8.0,99.0,304.0,112.0,96,92.0, 2247465, 2286947
8.3,100.0,788.0,172.0,95,93.0, 7705225, 7779797
8.1,90.0,416.0,128.0,25,53.0, 74422622, 74427638
8.1,90.0,416.0,128.0,86,89.0, 74422622, 74427638
5.7,38.0,247.0,224.0,25,53.0, 26410477, 94061311
5.7,38.0,247.0,224.0,86,89.0, 26410477, 94061311
6.4,38.0,21.0,26.0,21,63.0, 2165637, 2165637
5.8,57.0,228.0,195.0,86,69.0, 101704370, 241995151
5.8,57.0,228.0,195.0,61,51.0, 101704370, 241995151
4.4,43.0,87.0,79.0,67,48.0, 61123569, 87134280
4.4,43.0,87.0,79.0,26,39.0, 61123569, 87134280
7.2,85.0,173.0,108.0,88,80.0, 51600000, 51600000
7.2,85.0,173.0,108.0,48,32.0, 51600000, 51600000
6.2,,82.0,51.0,53,47.0, 9094451, 9094451
6.0,47.0,301.0,100.0,50,63.0, 22414961, 25819961
6.0,47.0,301.0,100.0,29,45.0, 22414961, 25819961
6.9,54.0,459.0,378.0,88,87.0, 93432655, 162360636
6.9,54.0,459.0,378.0,63,72.0, 93432655, 162360636
7.8,74.0,907.0,206.0,82,80.0, 183417150, 450717150
8.5,97.0,1190.0,231.0,38,28.0, 32000000, 32000000
8.5,97.0,1190.0,231.0,96,95.0, 32000000, 32000000
4.6,47.0,613.0,127.0,38,28.0, 21485655, 37170655
4.6,47.0,613.0,127.0,96,95.0, 21485655, 37170655
5.9,44.0,101.0,108.0,26,52.0, 17807569, 24470583
7.9,87.0,293.0,123.0,95,87.0, 1830650, 1836351
6.0,42.0,644.0,128.0,77,79.0, 56832494, 123729176
6.0,42.0,644.0,128.0,29,37.0, 56832494, 123729176
5.6,41.0,124.0,92.0,92,77.0, 9418365, 9418365
5.6,41.0,124.0,92.0,29,27.0, 9418365, 9418365
7.0,49.0,64.0,58.0,54,76.0, 10205616, 10209813
5.2,22.0,84.0,60.0,11,42.0, 13616610, 13743212
6.9,56.0,255.0,70.0,77,67.0, 119938730, 351583407
7.5,86.0,367.0,131.0,93,84.0, 44055492, 44061777
8.0,95.0,415.0,209.0,94,92.0, 218967620, 440118382
8.0,95.0,415.0,209.0,71,80.0, 218967620, 440118382
7.2,65.0,1049.0,514.0,94,92.0, 504014165, 1263521126
